id,company,title,required_skills,preferred_skills,description,job_type,deadline,company_type
1,테크스타트업A,데이터 분석가,"Python, SQL, 통계","R, Tableau, 시각화","사용자 행동 데이터를 분석해 비즈니스 인사이트를 도출합니다. A/B 테스트 설계 및 결과 해석 업무를 담당합니다.",데이터 분석,2026-08-31,스타트업
2,금융서비스B,데이터 엔지니어,"Python, Spark, SQL","Kafka, Airflow, AWS","대용량 금융 거래 데이터 파이프라인을 설계하고 운영합니다. ETL 프로세스 개발 및 데이터 품질 관리를 담당합니다.",데이터 엔지니어링,2026-09-15,핀테크
3,AI솔루션C,머신러닝 엔지니어,"python, PyTorch, 딥러닝","TensorFlow, CUDA, MLOps","AI 모델 개발 및 서비스 배포를 담당합니다. 자연어 처리 및 컴퓨터 비전 프로젝트에 참여합니다.",AI/ML,2026-08-20,스타트업
4,핀테크D,백엔드 개발자,,"Docker, Kubernetes, MSA","금융 서비스 REST API 서버를 개발합니다. 확장 가능한 백엔드 아키텍처를 설계하고 운영합니다.",백엔드 개발,2026-09-30,핀테크
5,커머스E,데이터 분석가,"SQL, Python, 엑셀","Looker, 통계분석, A/B테스트","이커머스 판매 및 고객 행동 데이터를 분석해 마케팅 전략 수립을 지원합니다.",데이터 분석,2026-08-31,대기업
6,헬스케어F,AI 연구원,"Python, 머신러닝, 논문 작성","NLP, 컴퓨터 비전, PyTorch","의료 데이터 기반 AI 모델을 연구·개발합니다. 논문 작성 및 학회 발표 경험자를 우대합니다.",AI/ML,2026-09-01,연구기관
7,컨설팅G,경영전략 컨설턴트,"Excel, PowerPoint, 데이터분석","MBA, SQL, Tableau","기업 전략 수립 및 운영 효율화 프로젝트를 수행합니다. 데이터 기반 의사결정을 지원합니다.",경영전략,2026-10-15,컨설팅펌
8,물류H,공급망 분석가,"sql, Python, 물류 도메인","ERP, SCM, R","물류 네트워크 최적화 및 수요 예측 모델을 개발합니다. 물류·유통 도메인 이해 필수입니다.",데이터 분석,2026-08-15,중견기업
9,광고테크I,디지털 마케터,,"Google Analytics, Meta Ads, SEO","디지털 광고 성과를 분석하고 ROI 최적화 전략을 수립합니다. 데이터 기반 캠페인 운영 경험자 우대.",마케팅,2026-09-20,스타트업
10,바이오J,생물정보학 연구원,"R, Python, 바이오인포매틱스","BLAST, NGS, 리눅스","유전체 데이터 분석 파이프라인을 개발합니다. 생물정보학 관련 석사 이상 우대합니다.",연구개발,2026-08-31,연구기관
11,스타트업K,프론트엔드 개발자,"JavaScript, React, HTML/CSS","TypeScript, Next.js, Figma","사용자 경험 중심의 프론트엔드 서비스를 개발합니다. 디자인 협업 경험 우대.",프론트엔드 개발,26.09.10,스타트업
12,금융L,리스크 분석가,"PYTHON, 통계, 금융공학","VBA, Bloomberg, SQL","금융 리스크 모델을 개발하고 규제 보고서를 작성합니다. CFA 또는 FRM 자격증 우대.",금융분석,,증권사
13,공기업M,데이터 사이언티스트,"Python, sql, Machine Learning","딥러닝, 시각화, NLP","공공 서비스 개선을 위한 데이터 분석 및 AI 모델을 개발합니다. 공공 데이터 활용 경험 우대.",데이터 분석,2026-10-31,공기업
14,게임N,게임 데이터 분석가,"SQL, Python, 게임 도메인","R, 행동분석, A/B테스트","게임 유저 행동 데이터를 분석하고 게임 밸런싱 및 수익화 전략을 지원합니다.",데이터 분석,2026-09-30,대기업
15,AI솔루션C,머신러닝 엔지니어,"Python, PyTorch, 딥러닝","TensorFlow, CUDA, MLOps","AI 모델 개발 및 서비스 배포를 담당합니다. 자연어 처리 및 컴퓨터 비전 프로젝트에 참여합니다.",AI/ML,2026-08-20,스타트업
16,리테일커머스P,리테일 데이터 분석가,"SQL, Python, 통계분석","Tableau, dbt, 리테일 도메인","오프라인·온라인 매장의 매출과 재고 데이터를 분석해 상품 기획 및 프로모션 전략을 지원합니다. 대시보드 구축 및 정기 리포팅 업무를 담당합니다.",데이터 분석,2026-09-30,대기업
17,구독플랫폼Q,프로덕트 데이터 분석가,"SQL, Python, A/B테스트","Amplitude, GA4, 코호트 분석","구독 서비스의 사용자 리텐션과 전환 퍼널을 분석하고, 실험 설계를 통해 프로덕트 개선 방향을 제안합니다. 그로스팀과 협업해 지표 기반 의사결정을 지원합니다.",데이터 분석,2026-08-25,스타트업
18,신용평가R,금융 데이터 분석가,"Python, SQL, 통계","SAS, 신용리스크, 재무제표 분석","여신·신용 데이터를 분석해 리스크 모형 고도화와 규제 대응 리포트 작성을 지원합니다. 재무·회계 데이터에 대한 이해를 바탕으로 지표를 설계합니다.",데이터 분석,2026-10-15,은행
19,회계법인알파,회계감사 어소시에이트,"회계, 재무제표, K-IFRS","CPA, Excel, ERP","상장·비상장 기업의 재무제표 감사 업무를 수행합니다. 감사 조서 작성 및 계정별 감사 절차를 담당하며, 회계기준 적용 검토를 지원합니다.",감사,2026-09-30,회계법인
20,회계법인베타,세무 컨설턴트,"세법, 법인세, 부가가치세","CPA, 세무조정, Excel","법인·개인 고객의 세무 신고 및 세무조정 업무를 담당합니다. 세무 리스크 진단과 절세 방안 자문을 제공합니다.",택스,2026-10-20,회계법인
21,회계법인감마,FAS 컨설턴트,"재무모델링, 기업가치평가, M&A","CPA, DCF, Excel","M&A 및 재무자문(FAS) 프로젝트를 수행합니다. 기업가치평가, 재무실사, 사업타당성 분석 업무를 담당합니다.",재무자문,2026-09-15,회계법인
